name,type,logo,description
Urban Systems Design / DIRT Corps,Nonprofit,example.com/image,{{need}}
Environmental Coalition of South Seattle,Nonprofit,example.com/image,{{need}}
Nature Consortium,Nonprofit,example.com/image,{{need}}
The Nature Conservancy,Nonprofit,example.com/image,{{need}}
Forterra,Nonprofit,example.com/image,{{need}}
Earth Corps,Nonprofit,example.com/image,{{need}}
Conservation Corps,Nonprofit,example.com/image,{{need}}
Washington Water Trails Association,Nonprofit,example.com/image,{{need}}
Seattle Tilth,Nonprofit,example.com/image,{{need}}
Solid Ground (Lettuce Link),Nonprofit,example.com/image,{{need}}
Seattle Aquarium,Nonprofit,example.com/image,{{need}}
Sustainable Seattle,Nonprofit,example.com/image,{{need}}
Sustainable West Seattle,Nonprofit,example.com/image,{{need}}
Across the Bridge,Nonprofit,example.com/image,{{need}}
Middle Green River Coalition,Nonprofit,example.com/image,{{need}}
Washington Environmental Council,Nonprofit,example.com/image,{{need}}
Stewardship Partners,Nonprofit,example.com/image,{{need}}
Sustainability Ambassadors,Nonprofit,example.com/image,{{need}}
Sound Stewards,Nonprofit,example.com/image,{{need}}
Puget Sound Sage,Nonprofit,example.com/image,{{need}}
Sightline Institute,Nonprofit,example.com/image,{{need}}
Washington Toxics Coalition,Nonprofit,example.com/image,{{need}}
Seattle Audubon Society,Nonprofit,example.com/image,{{need}}
King Conservation District,Nonprofit,example.com/image,{{need}}
Puget Creek Watershed Alliance,Nonprofit,example.com/image,{{need}}
Feet First,Nonprofit,example.com/image,{{need}}
Washington Native Plant Society,Nonprofit,example.com/image,{{need}}
Sound Salmon Solutions,Nonprofit,example.com/image,{{need}}
Salmon Safe Puget Sound,Nonprofit,example.com/image,{{need}}
Sno-King Watershed Council,Nonprofit,example.com/image,{{need}}
Mid-Sound Fisheries Enhancement Group,Nonprofit,example.com/image,{{need}}
The Common Acre,Nonprofit,example.com/image,{{need}}
Street Sounds Ecology,Nonprofit,example.com/image,{{need}}
Sierra Club - Seattle,Nonprofit,example.com/image,{{need}}
American Farmland Trust,Nonprofit,example.com/image,{{need}}
Museum of History and Industry,Nonprofit,example.com/image,{{need}}
Georgetown Steam Plant,Nonprofit,example.com/image,{{need}}
Western Washington University,Academia,example.com/image,{{need}}
Huxley College on the Peninsulas,Academia,example.com/image,{{need}}
UW Green Futures Lab,Academia,example.com/image,{{need}}
UW Dept. of Environmental Health,Academia,example.com/image,{{need}}
UW Dept. of Public Health,Academia,example.com/image,{{need}}
UW Superfund Research Program,Academia,example.com/image,{{need}}
Student Environmental Health Association,Academia,example.com/image,{{need}}
UW Wetland Ecosystem Team,Academia,example.com/image,{{need}}
Investigate West,News media,example.com/image,{{need}}
Seattle Times,News media,example.com/image,{{need}}
Seattle Weekly,News media,example.com/image,{{need}}
Puget Sound Business Journal,News media,example.com/image,{{need}}
The Stranger,News media,example.com/image,{{need}}
The Seattle Globalist,News media,example.com/image,{{need}}
South Seattle Emerald,News media,example.com/image,{{need}}
KUOW / Earth Fix,News media,example.com/image,{{need}}
Crosscut,News media,example.com/image,{{need}}
Yes Magazine,News media,example.com/image,{{need}}
History Link,News media,example.com/image,{{need}}
Enviroissues,Private firm,example.com/image,{{need}}
Cascadia Consulting,Private firm,example.com/image,{{need}}
Veda Environmental,Private firm,example.com/image,{{need}}
Barker Landscape Architects,Private firm,example.com/image,{{need}}
Triangle Associates,Private firm,example.com/image,{{need}}
Resource Media,Private firm,example.com/image,{{need}}
Steinbrueck Strategies,Private firm,example.com/image,{{need}}
SAIC,Private firm,example.com/image,{{need}}
Paladin,Private firm,example.com/image,{{need}}
South Park Neighborhood Association,Residents,example.com/image,{{need}}
Georgetown Community Council,Residents,example.com/image,{{need}}
South Park Area Redevelopment Committee,Residents,example.com/image,{{need}}
Friends of Georgetown History,Residents,example.com/image,{{need}}
South Park Arts,Residents,example.com/image,{{need}}
Carleton Avenue Grocery,Residents,example.com/image,{{need}}
Friends of Cedar Creek,Residents,example.com/image,{{need}}
