title,description,marker-size,marker-color,marker-symbol,PROJECT_NAME,PROJECT_TYPE,PROJECT_TYPE_CODE,PROJECT_DESCRIPTION,LOCATION_LONGITUDE,LOCATION_LATITUDE,LOCATION_LINK,UPLOAD_PHOTO,DOC_LINK,ORGANIZATIONS,CONTACT_EMAIL,CONTACT_ORGANIZATION,CONTACT_PHONE,CONTACT_WEBSITE,SOCIAL_LINK,DATA_ENTRY_NAME,DATA_ENTRY_PHONE,PROJECT_DATE,END_DATE,DATE_NOTE
Beaconsfield on the Sound - CLC,"<h1>Beaconsfield on the Sound - CLC</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/16943"" width=""100%"" height=""750""</iframe>",large,#1087bf,industrial,Beaconsfield on the Sound - CLC,River/stream/wetlands restoration/conservation/flood protection,7,"The project area is adjacent to Marine View Park in Normandy Park and is one of the last undeveloped and restorable feeder bluffs in Central Puget Sound.  SRFB funding was to be used to remove 656 ft of bulkhead during this project, but the project was revised in scope during the grant period due to issues with bulkhead removal.  Under the revised scope the project acquired nine Beaconsfield properties for inclusion in Marine View Park and they continue to work with the remaining 14 landowners at the site.   Outreach and education with local landowners resulting in volunteers and conservation crews removing 44,000 square feet of invasive species from the site working primarily along the creek.  Over 1500 native plants were installed in the areas where invasive ivy had been removed.",-122.3466463747,47.4154199168,,,,"SRFB - Salmon Recovery Funding Board, Nat Fish & Wildlife Foundation, King County, Forterra",email@example.com,Forterra,,http://waconnect.paladinpanoramic.com/project/250/16943,,Green Duwamish Watershed,555-555-5555,1/1/10,12/31/15,
Middle Walker Creek and Walker Preserve Stream Habitat Restoration,"<h1>Middle Walker Creek and Walker Preserve Stream Habitat Restoration</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/16954"" width=""100%"" height=""750""</iframe>",large,#1087bf,industrial,Middle Walker Creek and Walker Preserve Stream Habitat Restoration,River/stream/wetlands restoration/conservation/flood protection,7,"The goal of this project was to rehabilitate and restore a degraded portion of middle Walker Creek within the City of Normandy Park. The project site included a portion of Walker Preserve, a local public park, and a neighboring private property site.  The site was cleared of invasive vegetation using mechanical equipment. The banks of the stream were regraded and large woody debris and spawning gravel were installed.  Jute matting and other erosion control measures were constructed and the site was revegetated with native plants and trees. ",-122.3252820969,47.4481182638,,,,"SRFB - Salmon Recovery Funding Board, Nat Fish & Wildlife Foundation, Peter Landry, City of Normandy Park",email@example.com,Peter Landry,,http://waconnect.paladinpanoramic.com/project/250/16954,,Green Duwamish Watershed,555-555-5555,12/21/99,9/14/00,
Miller and Walker Creeks Noxious Weed Control Project,"<h1>Miller and Walker Creeks Noxious Weed Control Project</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/16957"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Miller and Walker Creeks Noxious Weed Control Project,Tree planting and invasive species removal,9,The King County Noxious Weed Control Program has been conducting control efforts on properties along Miller and Walker Creeks since 2005.  This project targets weeds that are in areas that are difficult and dangerous for property owners to access and control themselves.  The in-stream surveys being conducted will target policeman's helmet (,-122.3494434357,47.446812172,,,,"King County - WLRD - Stewardship Coordinator, King Conservation District, Nat Fish & Wildlife Foundation, King Co Water & Land Res",email@example.com,King County - WLRD - Stewardship Coordinator,,http://waconnect.paladinpanoramic.com/project/250/16957,,Green Duwamish Watershed,555-555-5555,1/1/05,12/31/11,
Maury Island Marine Park Re-vegetation and Monitoring,"<h1>Maury Island Marine Park Re-vegetation and Monitoring</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/16962"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Maury Island Marine Park Re-vegetation and Monitoring,Tree planting and invasive species removal,9,People for Puget Sound will restore and enhance nearshore riparian areas in Maury Island Marine Park by removing on-native invasive vegetation along 800 linear feet of marine shoreline and within 2 acres of riparian area.  One acre will be planted with native plants and the result will be a restored 100-150 ft riparian buffer.  200 volunteers will be engaged and education about nearshore processes and salmon habitat restoration practices.,-122.4033352615,47.3795775251,,,,"SRFB - Salmon Recovery Funding Board, Nat Fish & Wildlife Foundation, Greg Rabourn, King County DNR & Parks",email@example.com,Greg Rabourn,,http://waconnect.paladinpanoramic.com/project/250/16962,,Green Duwamish Watershed,555-555-5555,1/1/01,1/1/01,
Green River Knotweed Removal,"<h1>Green River Knotweed Removal</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/16970"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Green River Knotweed Removal,River/stream/wetlands restoration/conservation/flood protection,7,This project implements coordinated control of invasive knotweed (,-122.0250892639,47.2741066711,,,,"SRFB - Salmon Recovery Funding Board, Nat Fish & Wildlife Foundation, King Co Water & Land Res",email@example.com,Nat Fish & Wildlife Foundation,,http://waconnect.paladinpanoramic.com/project/250/16970,,Green Duwamish Watershed,555-555-5555,1/1/10,12/31/11,
Puget Sound Rain Gardens - Longfellow Creek,"<h1>Puget Sound Rain Gardens - Longfellow Creek</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/16972"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Puget Sound Rain Gardens - Longfellow Creek,Green infrastructure/low impact development for stormwater,4,"Stewardship Partners will conduct a series of classroom training sessions, rain garden installations, and outreach activities to educate local citizens on Longfellow Creek to establish rain gardens and other watershed friendly practices as a means to improve downstream water quality. Stormwater runoff associated with urban development is one of the biggest threats to the water quality of Puget Sound, and up to 75% o the pollutants entering Puget Sound is generated from these sources.  Rain gardens infiltrate and filter stormwater on site instead of allowing it to flow off impervious sources and pollute local waterways.  This project will focus demonstration installations around neighborhood clusters (adjacent parcels) to demonstrate the benefits of rain gardens in partnership with EarthCorps, Seattle Public Utilities, and others as part of the WSU-Stewardship Partners campaign to install 12,000 rain gardens by 2016.",-122.3600863977,47.5415279489,,,,"SRFB - Salmon Recovery Funding Board, Stewardship Partners, Nat Fish & Wildlife Foundation",email@example.com,Nat Fish & Wildlife Foundation,,http://waconnect.paladinpanoramic.com/project/250/16972,,Green Duwamish Watershed,555-555-5555,1/1/10,12/31/13,
Duwamish Alive restoration,"<h1>Duwamish Alive restoration</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/16974"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Duwamish Alive restoration,Tree planting and invasive species removal,9,"The Duwamish Alive coalition is made up of over 30 non-profits, community groups, and government entities throughout the neighborhoods of South and West Seattle and Tukwila. Our mission is to collaborate with communities, municipalities, non-profits, and businesses within the Duwamish River watershed to preserve and enhance habitat for people and wildlife, with a goal towards improving the health of Puget Sound. Two large events are held each year, engaging hundreds of local volunteers in a massive restoration effort along the critical salmon habitat of the Duwamish River.  The groups dispose of hundreds of pounds of garbage from the river and its banks, plant thousands of native trees and shrubs to restore the forested lands around the river, and remove tens of thousands of native trees and shrubs to restore the forested lands around the river, and remove tens of thousands of square feet of invasive species.  ",-122.2707368704,47.4896031335,,,,"Nat Fish & Wildlife Foundation, Duwamish Alive, City of Seattle, People for Puget Sound, Duwamish River Cleanup Coalition, Nature Consortium, Port of Seattle, Forterra, SRFB - Salmon Recovery Funding Board, Earth Corps",email@example.com,Nat Fish & Wildlife Foundation,,http://waconnect.paladinpanoramic.com/project/250/16974,,Green Duwamish Watershed,555-555-5555,1/1/10,12/31/10,
"Newaukum Creek Restoration, MG-6","<h1>Newaukum Creek Restoration, MG-6</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/16975"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,"Newaukum Creek Restoration, MG-6",River/stream/wetlands restoration/conservation/flood protection,7,"The project goal is to restore process-based ecological functions that include wetlands and riparian restoration on the Enumclaw Plateau.  King County will construct this project in a predominantly agricultural area.  Historic stream and floodplain activities to expand agricultural areas have resulted in the removal of riparian vegetation and instream wood.  This stream system, important to many fish and wildlife species, has temperatures and fecal coliform concentrations that typically exceed state standards. Nine landowners have previously participated in this revegetation effort which has been underway for three years.  King County intends to continue to recruit landowners along Newaukum Creek to participate in this program. This project would improve riparian habitat with the following actions:",-122.0101865595,47.2142452362,,,,"Nat Fish & Wildlife Foundation, King County Surface Water Management, King Co Water & Land Res, King Conservation District, King County - WLRD - Green River Basin Steward, SRFB - Salmon Recovery Funding Board",email@example.com,King County - WLRD - Green River Basin Steward,,http://waconnect.paladinpanoramic.com/project/250/16975,,Green Duwamish Watershed,555-555-5555,1/1/14,12/31/15,
Stewards of the Cove - Miller and Walker Creek Restoration,"<h1>Stewards of the Cove - Miller and Walker Creek Restoration</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/16977"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Stewards of the Cove - Miller and Walker Creek Restoration,River/stream/wetlands restoration/conservation/flood protection,7,The Normandy Park Community Club has received several National Fish and Wildlife Foundation grants to enhance wetland and riparian habitat on Miller and Walker Creek.  The project facilitates neighborhood volunteers to replace invasive plants with native species on 2 acres of estuary and 8 acres of riparian habitat.  Increasing public awareness of habitat requirements and restoration opportunities to benefit juvenile Chinook salmon is a primary outcome of this community-based work. ,-122.3571360082,47.4437285607,,,,"SRFB - Salmon Recovery Funding Board, Normandy Park Community Club, Nat Fish & Wildlife Foundation, King County",email@example.com,Normandy Park Community Club,,http://waconnect.paladinpanoramic.com/project/250/16977,,Green Duwamish Watershed,555-555-5555,1/1/07,1/1/17,
Needle Creek Slope Stabilization,"<h1>Needle Creek Slope Stabilization</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/16980"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Needle Creek Slope Stabilization,River/stream/wetlands restoration/conservation/flood protection,7,"The Vashon-Maury Island  Land Trust, with the help of volunteers, conservation crews, and island contractors, was able to stabilize over 15,000 square feet of unstable slope in the Needle Creek drainage. The project planted 5,000 trees over 31 acres of alder-dominated forest to encourage a layer of conifer regeneration, constructed 16 in-stream sediment control structures along 500",-122.4669456474,47.4673634684,,,,"Nat Fish & Wildlife Foundation, Vashon-Maury Island Land Trust, King County",email@example.com,Vashon-Maury Island Land Trust,,http://waconnect.paladinpanoramic.com/project/250/16980,,Green Duwamish Watershed,555-555-5555,1/1/04,12/31/05,
Restoration along Little Soos and Winter Creeks,"<h1>Restoration along Little Soos and Winter Creeks</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/16988"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Restoration along Little Soos and Winter Creeks,River/stream/wetlands restoration/conservation/flood protection,7,"The Institute for Community Leadership worked with seven landowners to restore riparian habitat on 2,275 feet along Little Soos and Winter Creeks with buffers of at least 25 ft.  The project removed invasive species, primarily blackberry,  planted native vegetation, engaged the community, and placed information signage.  Over 800 volunteers were involved. During the grant cycle the Institute for Community Leadership recevied the King County Earth Heroes Award. ",-122.1025759639,47.3804447698,,,,"SRFB - Salmon Recovery Funding Board, Institute for Community Leadership, Nat Fish & Wildlife Foundation, King County",email@example.com,Institute for Community Leadership,,http://waconnect.paladinpanoramic.com/project/250/16988,,Green Duwamish Watershed,555-555-5555,10/1/04,6/30/09,
Shinglemill Creek Salmon Habitat Enhancement,"<h1>Shinglemill Creek Salmon Habitat Enhancement</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/16991"" width=""100%"" height=""750""</iframe>",large,#1087bf,swimming,Shinglemill Creek Salmon Habitat Enhancement,River/stream/wetlands restoration/conservation/flood protection,7,"The Vashon-Maury Island Land trust conducted a habitat enhancement project on Shinglemill Creek. They placed 111 pieces of large woody debris in a series of structures along 2,000 feet of Shinglemill Creek. The placements have added complexity to the structure of the creek and have sequestered fine sediments, creating viable spawning reaches for coho and chum salmon and searun cutthroat trout. We have also planted 1,000 native conifers and recorded a conservation easement covering 29 acres of mature forest along the stream in order to nurture and protect the long-term recruitment of large wood to Shinglemill Creek.",-122.4803996081,47.4783502805,,,,"Nat Fish & Wildlife Foundation, Vashon-Maury Island Land Trust, King County",email@example.com,Vashon-Maury Island Land Trust,,http://waconnect.paladinpanoramic.com/project/250/16991,,Green Duwamish Watershed,555-555-5555,1/1/01,1/1/01,
